annotatorAge,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,intentYN,offensive2anyoneYN,offensive2youYN,dialectIsWrong,raceIsWrong,WorkerIdHashed,tweet,dialect,condition,username,davidson_label,founta_label
39,man,{},liberal,white,0.6666666666666666,1.0,0.0,,,3fa6bf4273d169a90e2a4dede7a08656,"RT @user210: &#8220;@user: ""@user https://t.co/OtZ0FGDVpR &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#8221; bitch gotta die 10,000 deaths. &#128534;&#128557;&#8221; &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; GTFOH",,text-only,A Twitter User,offensive_language_rel,
47,woman,{},liberal,white,1.0,1.0,1.0,,,d6262184afe6ca0990ac00469ca1a058,Kanyeeeeeee is just a yard ape acting idiot!just stupid...,,text-only,A Twitter User,neither_rel,
35,woman,{},na,na,1.0,1.0,1.0,,,51237cba56e29ee2da2247a53717201f,Kanyeeeeeee is just a yard ape acting idiot!just stupid...,,text-only,A Twitter User,neither_rel,
21,na,{},na,na,1.0,1.0,1.0,,,cc4485977ecf6b397b3c58441d720fb6,Kanyeeeeeee is just a yard ape acting idiot!just stupid...,,text-only,A Twitter User,neither_rel,
33,man,{},liberal,white,1.0,1.0,0.0,,,fb125749404f174f9d36050f0495b0a7,RT @user10: &#128557;&#128557;&#128557;&#128557;&#128557; RT @user: Tight pants and loud colors!!! You look like a fag! &#128557;,,text-only,A Twitter User,hate_speech_rel,
42,woman,{},cons,white,1.0,1.0,1.0,,,ea325001255a7af0509cefb555444812,RT @user10: &#128557;&#128557;&#128557;&#128557;&#128557; RT @user: Tight pants and loud colors!!! You look like a fag! &#128557;,,text-only,A Twitter User,hate_speech_rel,
27,man,{},liberal,white,0.3333333333333333,1.0,0.0,,,b877e6b2529e1a07545bfac401b9a6eb,RT @user10: &#128557;&#128557;&#128557;&#128557;&#128557; RT @user: Tight pants and loud colors!!! You look like a fag! &#128557;,,text-only,A Twitter User,hate_speech_rel,
32,man,veteran,liberal,white,1.0,1.0,1.0,,,e52f27e498998e2bf9838c39983427ba,@user10 @user dryer then them bad ass eyes of your fag,,text-only,A Twitter User,hate_speech_rel,
33,man,{},liberal,white,1.0,1.0,0.0,,,fb125749404f174f9d36050f0495b0a7,@user10 @user dryer then them bad ass eyes of your fag,,text-only,A Twitter User,hate_speech_rel,
51,man,IMMIGRANT,na,na,1.0,1.0,1.0,,,22117186b79db1cb515abad40a8bd57a,@user bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,,text-only,A Twitter User,hate_speech_rel,
26,woman,{},other,black,1.0,1.0,1.0,,,c5cf8d242d8281d304987b12dc262f81,@user bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,,text-only,A Twitter User,hate_speech_rel,
27,man,{},liberal,white,0.6666666666666666,1.0,1.0,,,b877e6b2529e1a07545bfac401b9a6eb,@user bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,,text-only,A Twitter User,hate_speech_rel,
30,woman,{},other,white,1.0,0.5,0.0,,,f5f510f26beef9a04c50d715b53706e3,@user you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,,text-only,A Twitter User,neither_rel,
34,woman,women,liberal,white,1.0,1.0,1.0,,,29b312298fda214ad0f377eebdd92990,@user you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,,text-only,A Twitter User,neither_rel,
44,woman,{},cons,white,0.6666666666666666,0.5,0.5,,,dbbcd5fd825cfd05df7368e4fec71870,@user you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,,text-only,A Twitter User,neither_rel,
32,woman,{},liberal,black,0.0,0.0,0.0,,,6d72a3c6075b64cbbc79124cde6c18ed,RT @user: Still waiting for Charlie Baker to take the stage in Swampscott. #wcvb http://t.co/lYb3Thm199,,text-only,A Twitter User,neither_rel,
43,woman,{},liberal,asian,0.0,0.0,0.0,,,652a3b795ccd59abc037cfbc94e77921,RT @user: Still waiting for Charlie Baker to take the stage in Swampscott. #wcvb http://t.co/lYb3Thm199,,text-only,A Twitter User,neither_rel,
33,man,{},liberal,white,0.0,0.0,0.0,,,fb125749404f174f9d36050f0495b0a7,RT @user: Still waiting for Charlie Baker to take the stage in Swampscott. #wcvb http://t.co/lYb3Thm199,,text-only,A Twitter User,neither_rel,
21,na,{},na,na,0.3333333333333333,0.5,0.0,,,cc4485977ecf6b397b3c58441d720fb6,"I like being teased, dont give me the pussy too fast",,text-only,A Twitter User,offensive_language_rel,
38,man,{},cons,white,0.3333333333333333,1.0,0.5,,,7cf9d79aef8b1f59d36cbd5681709c1f,"I like being teased, dont give me the pussy too fast",,text-only,A Twitter User,offensive_language_rel,
34,woman,women,liberal,white,1.0,1.0,1.0,,,29b312298fda214ad0f377eebdd92990,"I like being teased, dont give me the pussy too fast",,text-only,A Twitter User,offensive_language_rel,
27,man,{},cons,white,1.0,1.0,0.0,,,475aa96a8b2250fc5a56f6ea2f3a4358,When that dyke almost came for me when i didn't send for her &lt;&lt;&lt;&lt;,,text-only,A Twitter User,offensive_language_rel,
30,woman,{},liberal,white,1.0,1.0,1.0,,,ca6c6474c2918cfef926cd9ac172e060,When that dyke almost came for me when i didn't send for her &lt;&lt;&lt;&lt;,,text-only,A Twitter User,offensive_language_rel,
55,woman,{},liberal,white,1.0,1.0,1.0,,,79f9f6fb7b61257808ffbd0da878ec58,When that dyke almost came for me when i didn't send for her &lt;&lt;&lt;&lt;,,text-only,A Twitter User,offensive_language_rel,
24,man,racial,liberal,other,0.0,0.0,0.0,,,69a3ebe6bce9863c5f07e177daf8bcfd,&#8220;@user: The fruit of the modern Yankees farm system. http://t.co/LfWC3LSRjO&#8221; Joba the Nut.,,text-only,A Twitter User,neither_rel,
27,man,{},cons,white,0.6666666666666666,0.5,0.0,,,475aa96a8b2250fc5a56f6ea2f3a4358,&#8220;@user: The fruit of the modern Yankees farm system. http://t.co/LfWC3LSRjO&#8221; Joba the Nut.,,text-only,A Twitter User,neither_rel,
35,man,{},liberal,white,0.0,0.5,0.0,,,cb9564a86f8e811b6767152bd6bf090c,&#8220;@user: The fruit of the modern Yankees farm system. http://t.co/LfWC3LSRjO&#8221; Joba the Nut.,,text-only,A Twitter User,neither_rel,
33,man,racial,cons,asian,1.0,1.0,1.0,,,938b8dc4a9db84d0231d196c4bbd8ea5,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad,,text-only,A Twitter User,neither_rel,
62,woman,,liberal,white,0.0,0.0,0.0,,,7a67040ff2de00198f261e819ddec24f,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad,,text-only,A Twitter User,neither_rel,
35,man,{},liberal,white,0.3333333333333333,0.5,0.0,,,cb9564a86f8e811b6767152bd6bf090c,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad,,text-only,A Twitter User,neither_rel,
33,man,{},cons,asian,0.6666666666666666,0.5,0.5,,,938b8dc4a9db84d0231d196c4bbd8ea5,&#8220;@user10: #BeatTheHabs #NYR http://t.co/okvhWHy3Vh&#8221; @user #pussy,,text-only,A Twitter User,offensive_language_rel,
51,man,{},na,na,0.3333333333333333,1.0,1.0,,,22117186b79db1cb515abad40a8bd57a,&#8220;@user10: #BeatTheHabs #NYR http://t.co/okvhWHy3Vh&#8221; @user #pussy,,text-only,A Twitter User,offensive_language_rel,
43,woman,{},liberal,asian,0.3333333333333333,0.5,0.0,,,652a3b795ccd59abc037cfbc94e77921,Anglo-Saxon Mike Oz,,text-only,A Twitter User,neither_rel,
31,man,{},liberal,white,0.0,0.0,0.0,,,ab647dbde8ff4aab46c8cec7bdefad95,Anglo-Saxon Mike Oz,,text-only,A Twitter User,neither_rel,
30,woman,{},other,white,0.0,0.0,0.0,,,f5f510f26beef9a04c50d715b53706e3,Anglo-Saxon Mike Oz,,text-only,A Twitter User,neither_rel,
35,woman,{},liberal,na,0.0,0.0,0.0,,,51237cba56e29ee2da2247a53717201f,RT @user10: Think #windturbines are bad for birds? Compare: http://t.co/FpOSfLdOXW via @user http://t.co/Eh6I7dOjUz via &#8230;,,text-only,A Twitter User,neither_rel,
29,woman,{},liberal,white,0.0,0.0,0.0,,,11e1d496dfebed6f705e67feebef5561,RT @user10: Think #windturbines are bad for birds? Compare: http://t.co/FpOSfLdOXW via @user http://t.co/Eh6I7dOjUz via &#8230;,,text-only,A Twitter User,neither_rel,
37,man,{},libert,white,0.0,0.0,0.0,,,599ea0e2bcdac7f3458cb38410b08369,RT @user10: Think #windturbines are bad for birds? Compare: http://t.co/FpOSfLdOXW via @user http://t.co/Eh6I7dOjUz via &#8230;,,text-only,A Twitter User,neither_rel,
35,woman,{},liberal,na,0.3333333333333333,0.0,0.0,,,51237cba56e29ee2da2247a53717201f,"""@user210: @user @user I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",,text-only,A Twitter User,offensive_language_rel,
33,man,{},liberal,white,0.0,0.0,0.0,,,fb125749404f174f9d36050f0495b0a7,"""@user210: @user @user I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",,text-only,A Twitter User,offensive_language_rel,
27,man,{},cons,white,0.3333333333333333,0.0,0.0,,,475aa96a8b2250fc5a56f6ea2f3a4358,"""@user210: @user @user I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",,text-only,A Twitter User,offensive_language_rel,
24,man,racial,liberal,other,1.0,1.0,1.0,,,69a3ebe6bce9863c5f07e177daf8bcfd,@user it's not ghetto you fool.,,text-only,A Twitter User,neither_rel,
27,man,{},liberal,white,0.6666666666666666,0.5,0.5,,,b877e6b2529e1a07545bfac401b9a6eb,@user it's not ghetto you fool.,,text-only,A Twitter User,neither_rel,
31,man,{},liberal,white,0.6666666666666666,0.5,0.0,,,ab647dbde8ff4aab46c8cec7bdefad95,@user it's not ghetto you fool.,,text-only,A Twitter User,neither_rel,
32,man,{},cons,white,0.6666666666666666,1.0,1.0,,,a6e2a183440645e501930bf8c8ec79e8,"RT @user: Don't curve the man today, in whom you may need to eat your pussy tomorrow",,text-only,A Twitter User,offensive_language_rel,
33,man,{},cons,asian,1.0,1.0,1.0,,,938b8dc4a9db84d0231d196c4bbd8ea5,"RT @user: Don't curve the man today, in whom you may need to eat your pussy tomorrow",,text-only,A Twitter User,offensive_language_rel,
34,woman,women,liberal,white,1.0,1.0,1.0,,,29b312298fda214ad0f377eebdd92990,"RT @user: Don't curve the man today, in whom you may need to eat your pussy tomorrow",,text-only,A Twitter User,offensive_language_rel,
27,man,{},cons,white,1.0,1.0,1.0,,,475aa96a8b2250fc5a56f6ea2f3a4358,RT @user: What faggot complained about stretch marks?!? My nigga them shits taste like the swirls on cinnamon toast crunch http://&#8230;,,text-only,A Twitter User,offensive_language_rel,
33,man,{},liberal,white,1.0,1.0,0.0,,,fb125749404f174f9d36050f0495b0a7,RT @user: What faggot complained about stretch marks?!? My nigga them shits taste like the swirls on cinnamon toast crunch http://&#8230;,,text-only,A Twitter User,offensive_language_rel,
26,man,{},cons,white,1.0,1.0,0.0,,,2e0f09d74928467d2c2a469cf73106c0,RT @user: What faggot complained about stretch marks?!? My nigga them shits taste like the swirls on cinnamon toast crunch http://&#8230;,,text-only,A Twitter User,offensive_language_rel,
21,woman,{},cons,black,1.0,1.0,0.0,,,98c7a198628bdb692f91e8396e3ab2b3,Why you shouldn't eat pussy unless you love her http://t.co/BkpLT6D9ax,,text-only,A Twitter User,offensive_language_rel,
21,na,{},na,na,0.3333333333333333,0.5,0.5,,,cc4485977ecf6b397b3c58441d720fb6,Why you shouldn't eat pussy unless you love her http://t.co/BkpLT6D9ax,,text-only,A Twitter User,offensive_language_rel,
35,woman,{},liberal,na,0.3333333333333333,0.5,0.0,,,51237cba56e29ee2da2247a53717201f,Why you shouldn't eat pussy unless you love her http://t.co/BkpLT6D9ax,,text-only,A Twitter User,offensive_language_rel,
38,man,{},cons,white,0.3333333333333333,0.5,0.0,,,7cf9d79aef8b1f59d36cbd5681709c1f,"""@user: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",,text-only,A Twitter User,offensive_language_rel,
22,man,{},liberal,asian,0.6666666666666666,1.0,0.5,,,7bf3e76c903d5297d5b03b8615e1d489,"""@user: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",,text-only,A Twitter User,offensive_language_rel,
44,woman,{},cons,white,0.6666666666666666,1.0,1.0,,,dbbcd5fd825cfd05df7368e4fec71870,"""@user: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right",,text-only,A Twitter User,offensive_language_rel,
42,woman,bisexual,liberal,white,1.0,1.0,0.5,,,6f256fbc8fecb2a4838a3831ca31471a,RT @user: no hoes.,,text-only,A Twitter User,offensive_language_rel,
47,woman,{},liberal,white,0.0,0.0,0.0,,,d6262184afe6ca0990ac00469ca1a058,RT @user: no hoes.,,text-only,A Twitter User,offensive_language_rel,
33,man,{},cons,asian,0.6666666666666666,1.0,0.5,,,938b8dc4a9db84d0231d196c4bbd8ea5,RT @user: no hoes.,,text-only,A Twitter User,offensive_language_rel,
27,man,{},other,white,0.3333333333333333,1.0,0.5,,,b877e6b2529e1a07545bfac401b9a6eb,Gas is always cheaper in the ghetto,,text-only,A Twitter User,neither_rel,
50,woman,{},liberal,white,0.6666666666666666,1.0,1.0,,,5b6019dfc48fb6790d3a544ac0386ca6,Gas is always cheaper in the ghetto,,text-only,A Twitter User,neither_rel,
62,woman,,liberal,white,0.3333333333333333,0.5,0.0,,,7a67040ff2de00198f261e819ddec24f,Gas is always cheaper in the ghetto,,text-only,A Twitter User,neither_rel,
27,man,{},liberal,white,0.3333333333333333,1.0,0.5,,,b877e6b2529e1a07545bfac401b9a6eb,RT @user: These hoes ain't loyal http://t.co/JiK7OfqMBE,,text-only,A Twitter User,offensive_language_rel,
33,man,{},cons,asian,1.0,1.0,1.0,,,938b8dc4a9db84d0231d196c4bbd8ea5,RT @user: These hoes ain't loyal http://t.co/JiK7OfqMBE,,text-only,A Twitter User,offensive_language_rel,
37,man,{},libert,white,0.6666666666666666,1.0,1.0,,,599ea0e2bcdac7f3458cb38410b08369,RT @user: These hoes ain't loyal http://t.co/JiK7OfqMBE,,text-only,A Twitter User,offensive_language_rel,
27,man,{},cons,white,1.0,1.0,1.0,,,475aa96a8b2250fc5a56f6ea2f3a4358,"RT @user: Cruising down the street in my 64, jockin the bitches, slappin the hoes",,text-only,A Twitter User,offensive_language_rel,
39,man,{},liberal,white,0.3333333333333333,0.5,0.0,,,3fa6bf4273d169a90e2a4dede7a08656,"RT @user: Cruising down the street in my 64, jockin the bitches, slappin the hoes",,text-only,A Twitter User,offensive_language_rel,
29,woman,{},liberal,white,0.0,0.5,0.0,,,11e1d496dfebed6f705e67feebef5561,"RT @user: Cruising down the street in my 64, jockin the bitches, slappin the hoes",,text-only,A Twitter User,offensive_language_rel,
35,woman,{},liberal,na,1.0,1.0,1.0,,,51237cba56e29ee2da2247a53717201f,Tired of these niggas turning females into stuck up bitches,,text-only,A Twitter User,offensive_language_rel,
46,woman,{},cons,white,1.0,1.0,1.0,,,01a6552d9348a30fbf1c592ada45d1c0,Tired of these niggas turning females into stuck up bitches,,text-only,A Twitter User,offensive_language_rel,
24,man,racial,liberal,other,1.0,1.0,1.0,,,69a3ebe6bce9863c5f07e177daf8bcfd,Tired of these niggas turning females into stuck up bitches,,text-only,A Twitter User,offensive_language_rel,
24,man,{},cons,white,0.6666666666666666,0.5,1.0,,,a820b97985b3c2dbc05f96a4bc5f6ab8,@user10 go away already @user,,text-only,A Twitter User,neither_rel,
42,woman,{},other,white,0.6666666666666666,0.5,0.0,,,ca0a7f32cd771dd6d7d46ec7f2ce3017,@user10 go away already @user,,text-only,A Twitter User,neither_rel,
33,man,{},cons,asian,0.6666666666666666,0.5,0.5,,,938b8dc4a9db84d0231d196c4bbd8ea5,@user10 go away already @user,,text-only,A Twitter User,neither_rel,
37,man,{},libert,white,1.0,1.0,1.0,,,599ea0e2bcdac7f3458cb38410b08369,RT @user: Duh bitch,,text-only,A Twitter User,offensive_language_rel,
31,man,{},cons,white,0.3333333333333333,1.0,0.5,,,b17092b4dbf6671fc08a540e79d56542,RT @user: Duh bitch,,text-only,A Twitter User,offensive_language_rel,
62,woman,,liberal,white,0.6666666666666666,1.0,1.0,,,7a67040ff2de00198f261e819ddec24f,RT @user: Duh bitch,,text-only,A Twitter User,offensive_language_rel,
26,woman,{},other,black,0.0,0.0,0.0,,,c5cf8d242d8281d304987b12dc262f81,Jay Z - Takeover &amp; U Don't Know LIVE @ Home &amp; Home Concert Yankee Stadium: http://t.co/4EuK80uLiS via @user,,text-only,A Twitter User,neither_rel,
37,man,{},libert,white,0.0,0.0,0.0,,,599ea0e2bcdac7f3458cb38410b08369,Jay Z - Takeover &amp; U Don't Know LIVE @ Home &amp; Home Concert Yankee Stadium: http://t.co/4EuK80uLiS via @user,,text-only,A Twitter User,neither_rel,
21,na,{},na,na,0.0,0.0,0.0,,,cc4485977ecf6b397b3c58441d720fb6,Jay Z - Takeover &amp; U Don't Know LIVE @ Home &amp; Home Concert Yankee Stadium: http://t.co/4EuK80uLiS via @user,,text-only,A Twitter User,neither_rel,
37,woman,{},cons,white,1.0,1.0,1.0,,,82542142bf98630b76e3eee57e78d1e2,It's boner Sunday bitch,,text-only,A Twitter User,offensive_language_rel,
43,woman,{},liberal,asian,0.6666666666666666,1.0,1.0,,,652a3b795ccd59abc037cfbc94e77921,It's boner Sunday bitch,,text-only,A Twitter User,offensive_language_rel,
33,man,{},cons,asian,0.3333333333333333,0.0,0.0,,,938b8dc4a9db84d0231d196c4bbd8ea5,It's boner Sunday bitch,,text-only,A Twitter User,offensive_language_rel,
33,man,{},liberal,white,0.0,0.0,0.0,,,fb125749404f174f9d36050f0495b0a7,today i start breaking in a new pair of docs have mercy on my soles,,text-only,A Twitter User,neither_rel,
44,woman,{},cons,white,0.0,0.0,0.0,,,dbbcd5fd825cfd05df7368e4fec71870,today i start breaking in a new pair of docs have mercy on my soles,,text-only,A Twitter User,neither_rel,
22,man,{},liberal,asian,0.0,0.0,0.0,,,7bf3e76c903d5297d5b03b8615e1d489,today i start breaking in a new pair of docs have mercy on my soles,,text-only,A Twitter User,neither_rel,
27,man,{},liberal,white,1.0,1.0,1.0,,,b877e6b2529e1a07545bfac401b9a6eb,RT @user: Don't watch me you beta watch your bitch nigga!,,text-only,A Twitter User,hate_speech_rel,
21,man,{},liberal,white,1.0,1.0,1.0,,,6ffa57e3d1aa07169e29dc04809a2c83,RT @user: Don't watch me you beta watch your bitch nigga!,,text-only,A Twitter User,hate_speech_rel,
33,man,{},liberal,white,1.0,1.0,0.0,,,fb125749404f174f9d36050f0495b0a7,RT @user: Don't watch me you beta watch your bitch nigga!,,text-only,A Twitter User,hate_speech_rel,
22,man,{},liberal,asian,1.0,1.0,0.0,,,7bf3e76c903d5297d5b03b8615e1d489,RT @user: This bitch went full on retard http://t.co/nXj4QqGMx2,,text-only,A Twitter User,offensive_language_rel,
24,woman,Bisexual,liberal,white,1.0,1.0,1.0,,,f7c97c80bbc2cad805e629152b672215,RT @user: This bitch went full on retard http://t.co/nXj4QqGMx2,,text-only,A Twitter User,offensive_language_rel,
38,man,{},cons,white,1.0,1.0,0.5,,,7cf9d79aef8b1f59d36cbd5681709c1f,RT @user: This bitch went full on retard http://t.co/nXj4QqGMx2,,text-only,A Twitter User,offensive_language_rel,
51,man,IMMIGRANT,na,na,0.3333333333333333,0.5,0.5,,,22117186b79db1cb515abad40a8bd57a,RT @user: Bad monkey! #AmazingTiming http://t.co/UD5XkiaNVt,,text-only,A Twitter User,neither_rel,
62,woman,,liberal,white,0.0,0.0,0.0,,,7a67040ff2de00198f261e819ddec24f,RT @user: Bad monkey! #AmazingTiming http://t.co/UD5XkiaNVt,,text-only,A Twitter User,neither_rel,
22,man,{},liberal,asian,0.3333333333333333,1.0,0.0,,,7bf3e76c903d5297d5b03b8615e1d489,RT @user: Bad monkey! #AmazingTiming http://t.co/UD5XkiaNVt,,text-only,A Twitter User,neither_rel,
33,man,{},liberal,white,0.0,0.0,0.0,,,fb125749404f174f9d36050f0495b0a7,lmao I s2g having roots with yellow/white hair makes it look so dirty I'm &#128567; http://t.co/SqbYdUiZr8,,text-only,A Twitter User,neither_rel,
34,woman,women,liberal,white,0.3333333333333333,0.0,0.0,,,29b312298fda214ad0f377eebdd92990,lmao I s2g having roots with yellow/white hair makes it look so dirty I'm &#128567; http://t.co/SqbYdUiZr8,,text-only,A Twitter User,neither_rel,
33,man,{},cons,asian,0.3333333333333333,0.5,0.0,,,938b8dc4a9db84d0231d196c4bbd8ea5,lmao I s2g having roots with yellow/white hair makes it look so dirty I'm &#128567; http://t.co/SqbYdUiZr8,,text-only,A Twitter User,neither_rel,
37,man,{},libert,white,0.3333333333333333,0.5,0.0,,,599ea0e2bcdac7f3458cb38410b08369,RT @user: &#8226;not all black girls are ghetto though,,text-only,A Twitter User,neither_rel,
50,woman,sexuality,liberal,white,0.3333333333333333,1.0,1.0,,,342401c2a0796a7cbc2f4623a959e86b,RT @user: &#8226;not all black girls are ghetto though,,text-only,A Twitter User,neither_rel,
29,woman,{},liberal,white,0.3333333333333333,1.0,0.5,,,11e1d496dfebed6f705e67feebef5561,RT @user: &#8226;not all black girls are ghetto though,,text-only,A Twitter User,neither_rel,
31,man,{},liberal,white,0.3333333333333333,0.0,0.0,,,ab647dbde8ff4aab46c8cec7bdefad95,&#8220;@user: My leave out is trash &#128552;&#8221;&#128557;&#128557;&#128557; u sick,,text-only,A Twitter User,neither_rel,
44,woman,{},cons,white,0.0,0.0,0.0,,,dbbcd5fd825cfd05df7368e4fec71870,&#8220;@user: My leave out is trash &#128552;&#8221;&#128557;&#128557;&#128557; u sick,,text-only,A Twitter User,neither_rel,
33,man,{},liberal,white,0.6666666666666666,0.5,0.0,,,fb125749404f174f9d36050f0495b0a7,@user not home. Headed to work sorry ho,,text-only,A Twitter User,offensive_language_rel,
43,woman,{},liberal,asian,0.3333333333333333,0.5,0.0,,,652a3b795ccd59abc037cfbc94e77921,@user not home. Headed to work sorry ho,,text-only,A Twitter User,offensive_language_rel,
26,woman,{},other,black,0.3333333333333333,0.0,0.0,,,c5cf8d242d8281d304987b12dc262f81,@user not home. Headed to work sorry ho,,text-only,A Twitter User,offensive_language_rel,
24,man,racial,liberal,other,0.0,0.0,0.0,,,69a3ebe6bce9863c5f07e177daf8bcfd,Jihadi streams: British #ISIS fighter identified as Abu Abdurahman Al Britani killed in action. http://t.co/Ksowd8rRCk,,text-only,A Twitter User,neither_rel,
35,woman,{},liberal,na,0.0,0.0,0.0,,,51237cba56e29ee2da2247a53717201f,Jihadi streams: British #ISIS fighter identified as Abu Abdurahman Al Britani killed in action. http://t.co/Ksowd8rRCk,,text-only,A Twitter User,neither_rel,
37,man,{},libert,white,0.0,0.0,0.0,,,599ea0e2bcdac7f3458cb38410b08369,Jihadi streams: British #ISIS fighter identified as Abu Abdurahman Al Britani killed in action. http://t.co/Ksowd8rRCk,,text-only,A Twitter User,neither_rel,
33,man,{},liberal,white,0.0,0.0,0.0,,,fb125749404f174f9d36050f0495b0a7,RT @user: Cuddle with me and tell me I'm beautiful I'm a needy bitch,,text-only,A Twitter User,offensive_language_rel,
24,man,racial,liberal,other,0.6666666666666666,0.5,0.5,,,69a3ebe6bce9863c5f07e177daf8bcfd,RT @user: Cuddle with me and tell me I'm beautiful I'm a needy bitch,,text-only,A Twitter User,offensive_language_rel,
38,man,{},cons,white,0.3333333333333333,0.5,0.0,,,7cf9d79aef8b1f59d36cbd5681709c1f,RT @user: Cuddle with me and tell me I'm beautiful I'm a needy bitch,,text-only,A Twitter User,offensive_language_rel,
34,woman,{},liberal,white,0.6666666666666666,1.0,0.0,,,56ab2fd617a8589f70cae09f15caf5a2,@user Jeff Luhnow is to blame for the Astros not blowing out the Red Sox and Yankees -HC,,text-only,A Twitter User,neither_rel,
26,woman,{},other,black,0.0,0.0,0.0,,,c5cf8d242d8281d304987b12dc262f81,@user Jeff Luhnow is to blame for the Astros not blowing out the Red Sox and Yankees -HC,,text-only,A Twitter User,neither_rel,
62,woman,,liberal,white,0.0,0.0,0.0,,,7a67040ff2de00198f261e819ddec24f,@user Jeff Luhnow is to blame for the Astros not blowing out the Red Sox and Yankees -HC,,text-only,A Twitter User,neither_rel,
27,man,{},liberal,white,0.6666666666666666,1.0,0.5,,,b877e6b2529e1a07545bfac401b9a6eb,Bruh... @user soo trash....,,text-only,A Twitter User,neither_rel,
31,man,{},liberal,white,1.0,0.5,0.0,,,ab647dbde8ff4aab46c8cec7bdefad95,Bruh... @user soo trash....,,text-only,A Twitter User,neither_rel,
